incident_number,Common Name 1,Common Name 2,Common Name 3,source,confidence,candidate_frequency,sample_url
1490,Hurricane Isabel,,,fema_title,med,,
1491,Hurricane Isabel,,,fema_title,med,,
1492,Hurricane Isabel,,,fema_title,med,,
1493,Hurricane Isabel,,,fema_title,med,,
1494,Hurricane Isabel,,,fema_title,med,,
1496,Hurricane Isabel,,,fema_title,med,,
1504,Typhoon Lupit,,,fema_title,med,,
1511,Typhoon Sudal,,,fema_title,med,,
1533,Tropical Storm Tingting,,,fema_title,med,,
1539,Hurricane Charley,,,fema_title,med,,
1540,Wildland Fire,,,fema_title,med,,
1541,Typhoon Ch,,,fema_title,med,,
1543,Hurricane Charley,,,fema_title,med,,
1545,Hurricane Frances,,,fema_title,med,,
1547,Tropical Storm Gaston,,,fema_title,med,,
1548,Hurricane Ivan,,,fema_title,med,,
1549,Hurricane Ivan,,,fema_title,med,,
1550,Hurricane Ivan,,,fema_title,med,,
1551,Hurricane Ivan,,,fema_title,med,,
1552,Tropical Storm Jeanne,,,fema_title,med,,
1553,Hurricane Ivan,,,fema_title,med,,
1554,Hurricane Ivan,,,fema_title,med,,
1561,Hurricane Jeanne,,,fema_title,med,,
1570,Hurricane Jeanne,,,fema_title,med,,
1593,Hurricane Dennis,,,fema_title,med,,
1594,Hurricane Dennis,,,fema_title,med,,
1595,Hurricane Dennis,,,fema_title,med,,
1602,Hurricane Katrina,,,fema_title,med,,
1603,Louisiana Hurricane Katrina,,,manual,high,,
1604,Hurricane Katrina,,,fema_title,med,,
1605,Hurricane Katrina,,,fema_title,med,,
1606,Texas Hurricane Rita,,,manual,high,,
1607,Louisiana Hurricane Rita,,,manual,high,,
1608,Hurricane Ophelia,,,fema_title,med,,
1609,Hurricane Wilma,,,fema_title,med,,
1611,Typhoon Nabi,,,fema_title,med,,
1730,Tropical Storm Erin,,,fema_title,med,,
1780,Hurricane Dolly,,,fema_title,med,,
1785,Tropical Storm Fay,,,fema_title,med,,
1786,Hurricane Gustav,,,fema_title,med,,
1789,Hurricane Gustav,,,fema_title,med,,
1791,Hurricane Ike,,,fema_title,med,,
1792,Hurricane Ike,,,fema_title,med,,
1793,Hurricane Gustav,,,fema_title,med,,
1794,Hurricane Gustav,,,fema_title,med,,
1797,Hurricane Ike,,,fema_title,med,,
1801,Tropical Storm Hanna,,,fema_title,med,,
1804,Tropical Storm Ike,,,fema_title,med,,
1806,Hurricane Gustav,,,fema_title,med,,
1807,Hurricane Omar,,,fema_title,med,,
1931,Hurricane Alex,,,fema_title,med,,
1939,Hurricane Earl,,,fema_title,med,,
1971,"Alabama Severe Storms, Tornadoes, Straight-line Winds, and Flooding (April 2011 Super Outbreak, includes Tuscaloosa-Birmingham EF4)",,,manual,high,,
1980,"Missouri Severe Storms, Tornadoes, and Flooding (Joplin EF5 Tornado)",,,manual,high,,
4017,Hurricane Irene,,,fema_title,med,,
4019,Hurricane Irene,,,fema_title,med,,
4020,Hurricane Irene,,,fema_title,med,,
4021,Hurricane Irene,,,fema_title,med,,
4024,Hurricane Irene,,,fema_title,med,,
4025,Hurricane Irene,,,fema_title,med,,
4031,Tropical Storm Lee,,,fema_title,med,,
4034,Hurricane Irene,,,fema_title,med,,
4036,Hurricane Irene,,,fema_title,med,,
4037,Hurricane Irene,,,fema_title,med,,
4039,Tropical Storm Lee,,,fema_title,med,,
4045,Tropical Storm Lee,,,fema_title,med,,
4068,Tropical Storm Debby,,,fema_title,med,,
4080,Hurricane Isaac,,,fema_title,med,,
4081,Hurricane Isaac,,,fema_title,med,,
4082,Hurricane Isaac,,,fema_title,med,,
4084,Hurricane Isaac,,,fema_title,med,,
4085,New York Hurricane Sandy,,,manual,high,,
4086,New Jersey Hurricane Sandy,,,manual,high,,
4087,Hurricane Sandy,,,fema_title,med,,
4089,Hurricane Sandy,,,fema_title,med,,
4090,Hurricane Sandy,,,fema_title,med,,
4091,Hurricane Sandy,,,fema_title,med,,
4092,Hurricane Sandy,,,fema_title,med,,
4093,Hurricane Sandy,,,fema_title,med,,
4095,Hurricane Sandy,,,fema_title,med,,
4096,Hurricane Sandy,,,fema_title,med,,
4097,Hurricane Sandy,,,fema_title,med,,
4098,Hurricane Sandy,,,fema_title,med,,
4099,Hurricane Sandy,,,fema_title,med,,
4117,Oklahoma Severe Storms and Tornadoes (Moore EF5 Tornado),,,manual,high,,
4133,Gorge Fire,,,fema_title,med,,
4158,Rim Fire,,,fema_title,med,,
4191,Tropical Storm Halong,,,fema_title,med,,
4194,Tropical Storm Iselle,,,fema_title,med,,
4277,"Louisiana Severe Storms and Flooding (Great Flood of 2016, Baton Rouge area)",,,manual,high,,
4332,Texas Hurricane Harvey,,,manual,high,,
4337,Florida Hurricane Irma,,,manual,high,,
4353,Thomas Fire,,,manual,high,,
4399,Florida Hurricane Michael (Panama City/Mexico Beach),,,manual,high,,
4407,Camp Fire,Paradise Fire,Butte County Fire,manual,high,,
4465,North Carolina Hurricane Dorian,,,manual,high,,
4559,Louisiana Hurricane Laura,,,manual,high,,
4611,Louisiana Hurricane Ida,,,manual,high,,
4673,Florida Hurricane Ian,,,manual,high,,
4697,Rolling Fork Tornado,,,manual,high,,
4724,Hawaii Wildfires,Maui Wildfires,,manual,high,,
4781,Houston Derecho,,,manual,high,,
4784,Greenfield Tornado,Greenfield Iowa Tornado,,manual,high,,
4827,North Carolina Tropical Storm Helene,,,manual,high,,
4828,Florida Hurricane Helene,,,manual,high,,
4834,Florida Hurricane Milton,,,manual,high,,
4856,Los Angeles Fires,LA Fires,,manual,high,,
4874,Kentwood Carson Tornado,Kentwood Tornado,Darbun Tornado,manual,high,,
4879,Texas Floods,Kerr County Floods,,manual,high,,
4888,Enderlin Tornado,,,manual,high,,
